"Class","Layout","Title","Description","ImageSrc","ImageSrc2","Caption","Caption2","BodyText","Link","Keywords"
"left","","#1 Xavi","Web","www.feed-the.cat_.png","","Feed the Cat · Xavi · 2025","","Feed the Cat
This site is inspired by the viral Hello Street Cat project. The creator, who goes by the name Xavi, originally started it to see and care for their cat Bishop when they were away from home. They further wanted other people to also get to watch Bishop eat, slowly turning the feed into a community experience by adding live chat and radio functions. It shows how the web can bring together communities over something so simple yet deeply meaningful for those individuals.","https://www.feed-the.cat/","Interactive, Live Tracking, Community Web"
"left","right","#2 Mud Flower Studio","Web","mudflower.earth_.png","","Mud Flower · Mud Flower Studio · c.2023","","Mud Flower
Mud Flower is a personal portfolio site from an independent creative studio. What makes it stand out is how the site itself becomes the work. The navigation, layout and motion feel like an extension of the practice it represents. It blurs the line between container and content, treating the webpage as a designed object rather than just a vessel for displaying projects.","https://mudflower.earth/","Interactive Portfolio, Web Design, Motion"
"left","","#3 Bored.com Team","Web","www.bored.com_.png","","Bored.com · Bored.com Team · 1999","","Bored.com
One of the oldest continuously running boredom-relief sites on the internet. What I find fascinating about it is how it functions as a kind of unfiltered archive of early web culture, filled with random games, quizzes, videos and links stacked together with no editorial hierarchy. It's a time capsule of how the web used to feel: chaotic, unpredictable and genuinely surprising. That sense of discovery feels almost impossible to recreate intentionally today.","https://www.bored.com/","Web Archive, Internet History, Discovery"
"left","right","#4 Dverso","Web","dverso.png","","Dverso Background Removal · Dverso · c.2020s","","Dverso Background Removal
A browser-based background removal tool that have the sematics where the site is a helper what washes"" you image in a laundry setting. What strikes me is how it makes a task as dry as background removal into a fun little interactive web function with highly integrated sound and aesthetics. It raises interesting questions about the democratisation of AI tools and how invisible the underlying technology becomes when the interface is designed well.""","https://tools.dverso.io/bgremove/","AI Tool, Background Removal, Browser-Based"
"left","","#5 Yuri Vishnevsky & Sergey Komanov","Creative Coding","weavesilk.png","","Weave Silk · Yuri Vishnevsky & Sergey Komanov · 2011","","Weave Silk
Weave Silk is a early piece of browser-based, interactive, generative art tool, where mouse movement creates symmetrical silk-like patterns in real time. What I find compelling is how it transforms the act of drawing into something almost meditative, the output is always beautiful regardless of the input, exploring the art of symmetry, gradients and transparancy. It democratises generative aesthetics by removing the need for any technical knowledge, making the experience purely about movement and colour.","http://weavesilk.com/","Generative Art, Creative Coding, Interactivity"
"left","right","#6 Mat Dobson","Creative Coding","doodlar.webp","","Doodlar · Mat Dobson / BYO · 2020 (Image source: https://www.itsnicethat.com/news/doodlar-app-digital-100820)","","Doodlar
Doodlar uses machine learning and augmented reality to recognise hand-drawn sketches and bring them to life as 3D animated models overlaid on the real world through a webcam or phone camera. It collapses the gap between physical mark-making and digital space, your drawing becomes a portal. The way it integrates ML classification, AR rendering and a genuinely playful interface feels like a convincing argument for what creative computing can be at its best.","https://doodlar.co/","AR, Machine Learning, Creative Coding, Webcam"
"left","","#7 craftwithanna","Web","annasgarden.vercel.app_.png","","Anna's Garden · 2024","","Anna's Garden
Anna's Garden is a quiet, collaborative web space that directly inspired the direction of my final project. There's something about the way it creates a shared environment through simplicity and human bond, rather than implied design. It reminded me that digital spaces can carry the same sense of care and intimacy as physical ones, and that the most compelling interactive work doesn't always something very complex.","https://annasgarden.vercel.app/","Collaborative Space, Web Art, Final Project Inspiration"
"left","right","#8 aidn.jp (Daniwell)","Creative Coding","aidn.jp_wowa_.png","","Wonder of Wonder Art · aidn.jp","","Wonder of Wonder Art
A playful generative work from aidn.jp (Daniwell) where a dancing skeleton rig that dances along to music that Daniwell created. The skeleton rigging and procedural movement system directly informed the coding approach for my final project. It showed me how expressive and character-driven code-based animation can be, that you don't need complex 3D assets to communicate personality.","https://aidn.jp/wowa/","Generative Art, Skeleton Rig, Final Project Inspiration, Creative Coding"
"left","","#9 Hologram Zoo Melbourne","Physical Computing","hologramzoo.jpg","","Hologram Zoo · 2026","","Hologram Zoo
An immersive holographic zoo in Ringwood, Melbourne that I actually caame across in-person when shopping in the area. The Zoo combins projection technology, spatial audio, and interactive environments to simulate encounters with digital animals. The space explores how emerging display technologies can redefine entertainment and public engagement. Its blending of spectacle, education, and immersion demonstrates the growing role of mixed reality experiences within contemporary physical computing practices.","https://hologramzoo.melbourne/","Hologram, Physical Computing, Mixed Reality, Immersive"
"left","right","#10 Lu Yang & Collaborators","Physical Computing","guai.webp","","Guai · Lu Yang & Collaborators · 2024","","Guai
Exhibited at Melbourne's Science Gallery as part of Sci-Fi: Chapters of New Nature, Guai is an installation by Lu Yang that combines mythology, body horror and digital spectacle. It occupies a strange space between game, ritual and medical theatre. What interests me most is how it uses physical interaction not to empower the viewer but to unsettle them, the body becomes a site of ambiguity rather than control.","https://melbourne.sciencegallery.com/sci-fi-chapters-new-nature/guai","Physical Interaction, Installation, Lu Yang, Science Gallery"
"left","","#11 Playful Machines","Physical Computing","nailedit.jpg","","Nailed It · Playful Machines · c.2018","","Nailed It
Nailed It by Playful Machines is a wearable computing project that explores how technology embedded in clothing and accessories can create new forms of play and social interaction. It sits at the intersection of fashion, game design and physical computing, using the body as both controller and canvas. What resonates with me is how it challenges the idea that wearable tech needs to be functional in a traditional sense; here, playfulness is the function.","https://playful-machines.com/projects/nailed-it/","Wearable, Physical Computing, Playful Design, Body as Interface"
